Variable,Unit
Capacity Additions|Electricity|Gas|w/ CCS,GW
Capacity Additions|Electricity|Gas|w/o CCS,GW
Capacity Additions|Electricity|Gas|w/o CCS,GW/yr
Capacity Additions|Electricity|Geothermal,GW/yr
Capacity Additions|Electricity|Geothermal,GW
Capacity Additions|Electricity|Hydro,GW
Capacity Additions|Electricity|Hydro,GW/yr
Capacity Additions|Electricity|Non-Biomass Renewables,GW/yr
Capacity Additions|Electricity|Non-Biomass Renewables,GW
Capacity Additions|Electricity|Nuclear,GW
Capacity Additions|Electricity|Nuclear,GW/yr
Capacity Additions|Electricity|Oil,GW/yr
Capacity Additions|Electricity|Oil,GW
Capacity Additions|Electricity|Oil|w/ CCS,GW/yr
Capacity Additions|Electricity|Oil|w/ CCS,GW
Capacity Additions|Electricity|Oil|w/o CCS,GW/yr
Capacity Additions|Electricity|Oil|w/o CCS,GW
Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr
Capacity Additions|Electricity|Renewables (incl. Biomass),GW
Capacity Additions|Electricity|Solar,GW
Capacity Additions|Electricity|Solar,GW/yr
Capacity Additions|Electricity|Solar|CSP,GW
Capacity Additions|Electricity|Solar|CSP,GW/yr
Capacity Additions|Electricity|Solar|PV,GW/yr
Capacity Additions|Electricity|Solar|PV,GW
Capacity Additions|Electricity|Storage Capacity,GWh/yr
Capacity Additions|Electricity|Storage Capacity,GW
Capacity Additions|Electricity|Wind,GW
Capacity Additions|Electricity|Wind,GW/yr
Capacity Additions|Electricity|Wind|Offshore,GW
Capacity Additions|Electricity|Wind|Offshore,GW/yr
Capacity Additions|Electricity|Wind|Onshore,GW
Capacity Additions|Electricity|Wind|Onshore,GW/yr
Capacity|Electricity,GW
Capacity|Electricity|Biomass,GW
Capacity|Electricity|Biomass|w/ CCS,GW
Capacity|Electricity|Biomass|w/o CCS,GW
Capacity|Electricity|Coal,GW
Capacity|Electricity|Coal|w/ CCS,GW
Capacity|Electricity|Coal|w/o CCS,GW
Capacity|Electricity|Fossil,GW
Capacity|Electricity|Gas,GW
Capacity|Electricity|Gas|w/ CCS,GW
Capacity|Electricity|Gas|w/o CCS,GW
Capacity|Electricity|Geothermal,GW
Capacity|Electricity|Hydro,GW
Capacity|Electricity|Non-Biomass Renewables,GW
Capacity|Electricity|Nuclear,GW
Capacity|Electricity|Ocean,GW
Capacity|Electricity|Oil,GW
Capacity|Electricity|Oil|w/ CCS,GW
Capacity|Electricity|Oil|w/o CCS,GW
Capacity|Electricity|Other,GW
Capacity|Electricity|Peak Demand,GW
Capacity|Electricity|Renewables (incl. Biomass),GW
Capacity|Electricity|Solar,GW
Capacity|Electricity|Solar|CSP,GW
Capacity|Electricity|Solar|PV,GW
Capacity|Electricity|Storage,GW
Capacity|Electricity|Storage Capacity,GWh
Capacity|Electricity|Wind,GW
Capacity|Electricity|Wind|Offshore,GW
Capacity|Electricity|Wind|Onshore,GW
Capacity|Gases|Biomass,GW
Capacity|Gases|Biomass|w/o CCS,GW
Capacity|Gases|Coal,GW
Capacity|Gases|Coal|w/o CCS,GW
Capacity|Hydrogen|Biomass,GW
Capacity|Hydrogen|Biomass|w/ CCS,GW
Capacity|Hydrogen|Biomass|w/o CCS,GW
Capacity|Hydrogen|Coal,GW
Capacity|Hydrogen|Coal|w/ CCS,GW
Capacity|Hydrogen|Coal|w/o CCS,GW
Capacity|Hydrogen|Electricity,GW
Capacity|Hydrogen|Gas,GW
Capacity|Hydrogen|Gas|w/ CCS,GW
Capacity|Hydrogen|Gas|w/o CCS,GW
Capacity|Liquids|Biomass,GW
Capacity|Liquids|Biomass|w/ CCS,GW
Capacity|Liquids|Biomass|w/o CCS,GW
Capacity|Liquids|Coal,GW
Capacity|Liquids|Coal|w/ CCS,GW
Capacity|Liquids|Coal|w/o CCS,GW
Capacity|Liquids|Gas,GW
Capacity|Liquids|Gas|w/ CCS,GW
Capacity|Liquids|Gas|w/o CCS,GW
Capacity|Liquids|Oil,GW
Capacity|Transportation|Aviation|Freight,billion tkm/yr
Capacity|Transportation|Aviation|Passenger,billion pkm/yr
Capacity|Transportation|Maritime|Freight,billion tkm/yr
Capacity|Transportation|Maritime|Passenger,billion pkm/yr
Capacity|Transportation|Rail|Freight,billion tkm/yr
Capacity|Transportation|Rail|Passenger,billion pkm/yr
Capacity|Transportation|Road|Freight,billion tkm/yr
Capacity|Transportation|Road|Passenger,billion pkm/yr
Capital Cost|Electricity|Biomass|w/ CCS,US$2010/kW
Capital Cost|Electricity|Biomass|w/o CCS,US$2010/kW
Capital Cost|Electricity|Coal|w/ CCS,US$2010/kW
Capital Cost|Electricity|Coal|w/o CCS,US$2010/kW
Capital Cost|Electricity|Gas|w/ CCS,US$2010/kW
Capital Cost|Electricity|Gas|w/o CCS,US$2010/kW
Capital Cost|Electricity|Geothermal,US$2010/kW
Capital Cost|Electricity|Hydro,US$2010/kW
Capital Cost|Electricity|Nuclear,US$2010/kW
Capital Cost|Electricity|Solar|CSP,US$2010/kW
Capital Cost|Electricity|Solar|PV,US$2010/kW
Capital Cost|Electricity|Wind|Offshore,US$2010/kW
Capital Cost|Electricity|Wind|Onshore,US$2010/kW
Capital Cost|Gases|Biomass|w/ CCS,US$2010/kW
Capital Cost|Gases|Biomass|w/o CCS,US$2010/kW
Capital Cost|Gases|Coal|w/ CCS,US$2010/kW
Capital Cost|Gases|Coal|w/o CCS,US$2010/kW
Capital Cost|Hydrogen|Biomass|w/ CCS,US$2010/kW
Capital Cost|Hydrogen|Biomass|w/o CCS,US$2010/kW
Capital Cost|Hydrogen|Coal|w/ CCS,US$2010/kW
Capital Cost|Hydrogen|Coal|w/o CCS,US$2010/kW
Capital Cost|Hydrogen|Electricity,US$2010/kW
Capital Cost|Hydrogen|Gas|w/ CCS,US$2010/kW
Capital Cost|Hydrogen|Gas|w/o CCS,US$2010/kW
Capital Cost|Liquids|Biomass|w/ CCS,US$2010/kW
Capital Cost|Liquids|Biomass|w/o CCS,US$2010/kW
Capital Cost|Liquids|Coal|w/ CCS,US$2010/kW
Capital Cost|Liquids|Coal|w/o CCS,US$2010/kW
Capital Cost|Liquids|Gas|w/ CCS,US$2010/kW
Capital Cost|Liquids|Gas|w/o CCS,US$2010/kW
Capital Cost|Liquids|Oil,US$2010/kW
Capital Formation,billion US$2010/yr
Capital Stock,billion US$2010/yr
Carbon Intensity|Production|Cement,Mt CO2-equiv/Mt
Carbon Intensity|Production|Cement|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt
Carbon Intensity|Production|Cement|Industrial Processes,Mt CO2-equiv/Mt
Carbon Intensity|Production|Chemicals,Mt CO2-equiv/Mt
Carbon Intensity|Production|Chemicals|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt
Carbon Intensity|Production|Chemicals|Industrial Processes,Mt CO2-equiv/Mt
Carbon Intensity|Production|Steel,Mt CO2-equiv/Mt
Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry,Mt CO2-equiv/Mt
Carbon Intensity|Production|Steel|Industrial Processes,Mt CO2-equiv/Mt
Carbon Sequestration|CCS,Mt CO2/yr
Carbon Sequestration|CCS|Biomass,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,Mt CO2/yr
Carbon Sequestration|CCS|Biomass|Industrial Processes,Mt CO2/yr
Carbon Sequestration|CCS|Fossil,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Energy|Supply|Other,Mt CO2/yr
Carbon Sequestration|CCS|Fossil|Industrial Processes,Mt CO2/yr
Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr
Carbon Sequestration|Direct Air Capture,Mt CO2/yr
Carbon Sequestration|Enhanced Weathering,Mt CO2/yr
Carbon Sequestration|Feedstocks,Mt CO2/yr
Carbon Sequestration|Land Use,Mt CO2/yr
Carbon Sequestration|Land Use|Afforestation,Mt CO2/yr
Carbon Sequestration|Land Use|Biochar,Mt CO2/yr
Carbon Sequestration|Land Use|Other,Mt CO2/yr
Carbon Sequestration|Land Use|Soil Carbon Management,Mt CO2/yr
Carbon Sequestration|Other,Mt CO2/yr
Carbon Utilization|CCS|Industry,Mt CO2/yr
Concentration|CH4,ppb
Concentration|CO2,ppm
Concentration|N2O,ppb
Consumption,billion US$2010/yr
Cumulative Capacity|Electricity|Biomass,GW
Cumulative Capacity|Electricity|Biomass|w/ CCS,GW
Cumulative Capacity|Electricity|Biomass|w/o CCS,GW
Cumulative Capacity|Electricity|Coal,GW
Cumulative Capacity|Electricity|Coal|w/ CCS,GW
Cumulative Capacity|Electricity|Coal|w/o CCS,GW
Cumulative Capacity|Electricity|Fossil,GW
Cumulative Capacity|Electricity|Gas,GW
Cumulative Capacity|Electricity|Gas|w/ CCS,GW
Cumulative Capacity|Electricity|Gas|w/o CCS,GW
Cumulative Capacity|Electricity|Geothermal,GW
Cumulative Capacity|Electricity|Hydro,GW
Cumulative Capacity|Electricity|Non-Biomass Renewables,GW
Cumulative Capacity|Electricity|Nuclear,GW
Cumulative Capacity|Electricity|Ocean,GW
Cumulative Capacity|Electricity|Oil,GW
Cumulative Capacity|Electricity|Oil|w/ CCS,GW
Cumulative Capacity|Electricity|Oil|w/o CCS,GW
Cumulative Capacity|Electricity|Other,GW
Cumulative Capacity|Electricity|Renewables (incl. Biomass),GW
Cumulative Capacity|Electricity|Solar,GW
Cumulative Capacity|Electricity|Solar|CSP,GW
Cumulative Capacity|Electricity|Solar|PV,GW
Cumulative Capacity|Electricity|Wind,GW
Cumulative Capacity|Electricity|Wind|Offshore,GW
Cumulative Capacity|Electricity|Wind|Onshore,GW
Cumulative Capacity|Gases|Biomass,GW
Cumulative Capacity|Gases|Biomass|w/o CCS,GW
Cumulative Capacity|Gases|Coal,GW
Cumulative Capacity|Gases|Coal|w/o CCS,GW
Cumulative Capacity|Hydrogen|Biomass,GW
Cumulative Capacity|Hydrogen|Biomass|w/ CCS,GW
Cumulative Capacity|Hydrogen|Biomass|w/o CCS,GW
Cumulative Capacity|Hydrogen|Coal,GW
Cumulative Capacity|Hydrogen|Coal|w/ CCS,GW
Cumulative Capacity|Hydrogen|Coal|w/o CCS,GW
Cumulative Capacity|Hydrogen|Electricity,GW
Cumulative Capacity|Hydrogen|Gas,GW
Cumulative Capacity|Hydrogen|Gas|w/ CCS,GW
Cumulative Capacity|Hydrogen|Gas|w/o CCS,GW
Cumulative Capacity|Liquids|Biomass,GW
Cumulative Capacity|Liquids|Biomass|w/ CCS,GW
Cumulative Capacity|Liquids|Biomass|w/o CCS,GW
Cumulative Capacity|Liquids|Coal,GW
Cumulative Capacity|Liquids|Coal|w/ CCS,GW
Cumulative Capacity|Liquids|Coal|w/o CCS,GW
Cumulative Capacity|Liquids|Gas,GW
Cumulative Capacity|Liquids|Gas|w/ CCS,GW
Cumulative Capacity|Liquids|Gas|w/o CCS,GW
Cumulative Capacity|Liquids|Oil,GW
Discount rate|Economy,%
Discount rate|Electricity,%
Discount rate|Energy Supply,%
Discount rate|Industry,%
Discount rate|Mobility,%
Discount rate|Residential and Commercial,%
Discount rate|Social,%
Discount rate|Transport Infrastructure,%
Ecotoxicity|Freshwater|Electricity,"Mt 1,4-DCB-eq"
Ecotoxicity|Marine|Electricity,"Mt 1,4-DCB-eq"
Efficiency|Electricity|Biomass|w/ CCS,%
Efficiency|Electricity|Biomass|w/o CCS,%
Efficiency|Electricity|Coal|w/ CCS,%
Efficiency|Electricity|Coal|w/o CCS,%
Efficiency|Electricity|Gas|w/ CCS,%
Efficiency|Electricity|Gas|w/o CCS,%
Efficiency|Gases|Biomass|w/o CCS,%
Efficiency|Gases|Coal|w/o CCS,%
Efficiency|Hydrogen|Biomass|w/ CCS,%
Efficiency|Hydrogen|Biomass|w/o CCS,%
Efficiency|Hydrogen|Coal|w/ CCS,%
Efficiency|Hydrogen|Coal|w/o CCS,%
Efficiency|Hydrogen|Electricity,%
Efficiency|Hydrogen|Gas|w/ CCS,%
Efficiency|Hydrogen|Gas|w/o CCS,%
Efficiency|Liquids|Biomass|w/ CCS,%
Efficiency|Liquids|Biomass|w/o CCS,%
Efficiency|Liquids|Coal|w/ CCS,%
Efficiency|Liquids|Coal|w/o CCS,%
Efficiency|Liquids|Gas|w/ CCS,%
Efficiency|Liquids|Gas|w/o CCS,%
Efficiency|Liquids|Oil,%
Emissions|BC,Mt BC/yr
Emissions|BC|AFOLU,Mt BC/yr
Emissions|BC|AFOLU|Agriculture,Mt BC/yr
Emissions|BC|AFOLU|Land,Mt BC/yr
Emissions|BC|Energy,Mt BC/yr
Emissions|BC|Energy|Demand|Industry,Mt BC/yr
Emissions|BC|Energy|Demand|Residential and Commercial,Mt BC/yr
Emissions|BC|Energy|Demand|Residential and Commercial|Commercial,Mt BC/yr
Emissions|BC|Energy|Demand|Residential and Commercial|Residential,Mt BC/yr
Emissions|BC|Energy|Demand|Transportation,Mt BC/yr
Emissions|BC|Energy|Supply,Mt BC/yr
Emissions|BC|Industrial Processes,Mt BC/yr
Emissions|BC|Other,Mt BC/yr
Emissions|BC|Waste,Mt BC/yr
Emissions|C2F6,kt C2F6/yr
Emissions|CF4,kt CF4/yr
Emissions|CH4,Mt CH4/yr
Emissions|CH4|AFOLU,Mt CH4/yr
Emissions|CH4|AFOLU|Agriculture,Mt CH4/yr
Emissions|CH4|AFOLU|Agriculture|Livestock,Mt CH4/yr
Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation,Mt CH4/yr
Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management,Mt CH4/yr
Emissions|CH4|AFOLU|Agriculture|Rice,Mt CH4/yr
Emissions|CH4|AFOLU|Land,Mt CH4/yr
Emissions|CH4|Energy,Mt CH4/yr
Emissions|CH4|Energy|Demand|Industry,Mt CH4/yr
Emissions|CH4|Energy|Demand|Residential and Commercial,Mt CH4/yr
Emissions|CH4|Energy|Demand|Residential and Commercial|Commercial,Mt CH4/yr
Emissions|CH4|Energy|Demand|Residential and Commercial|Residential,Mt CH4/yr
Emissions|CH4|Energy|Demand|Transportation,Mt CH4/yr
Emissions|CH4|Energy|Supply,Mt CH4/yr
Emissions|CH4|Industrial Processes,Mt CH4/yr
Emissions|CH4|Industrial Processes|Chemicals,Mt CH4/yr
Emissions|CH4|Industrial Processes|Steel,Mt CH4/yr
Emissions|CH4|Other,Mt CH4/yr
Emissions|CH4|Waste,Mt CH4/yr
Emissions|CO,Mt CO/yr
Emissions|CO2,Mt CO2/yr
Emissions|CO2|AFOLU,Mt CO2/yr
Emissions|CO2|AFOLU|Agriculture,Mt CO2/yr
Emissions|CO2|AFOLU|Land,Mt CO2/yr
Emissions|CO2|Energy,Mt CO2/yr
Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr
Emissions|CO2|Energy|Demand,Mt CO2/yr
Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Cement,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Chemicals,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Chemicals|High value chemicals,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Chemicals|Other,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Other,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Mt CO2/yr
Emissions|CO2|Energy|Demand|Industry|Steel,Mt CO2/yr
Emissions|CO2|Energy|Demand|Other Sector,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Cooking,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Space,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Water,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Cooking,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Space,Mt CO2/yr
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Water,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Aviation,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Rail,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Road,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Road|Freight,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,Mt CO2/yr
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|2W&3W,Mt CO2/yr
